centre_lat,centre_lon,sounding_count,ch4_bias_corrected_ppb,ch4_raw_ppb,impervious_fraction,impervious_coverage,rice_fraction_single,rice_fraction_combined,rice_coverage,province_share_outside,share_anhui,share_jiangsu,share_shanghai,share_zhejiang
34.075,117.425,249,1895.46,1887.13,0.112162,0.9996,0.212203,0.212203,0.6116,0.0,0.3883,0.6117,,
34.075,117.675,301,1893.25,1885.85,0.089157,0.9996,0.129739,0.129739,0.923,0.0,0.077,0.923,,
34.075,117.925,246,1892.21,1881.47,0.138342,0.9986,0.263258,0.263258,1.0,0.0,,1.0,,
34.075,118.175,33,1891.28,1880.38,0.161174,0.9996,0.10731,0.10731,1.0,0.0,,1.0,,
34.075,118.425,230,1889.51,1880.76,0.169312,0.9996,0.362522,0.362522,1.0,0.0,,1.0,,
34.075,118.675,299,1891.09,1882.23,0.199057,0.9986,0.329837,0.329837,1.0,0.0,,1.0,,
34.075,118.925,300,1887.74,1878.57,0.163681,0.9996,0.338659,0.338659,1.0,0.0,,1.0,,
34.075,119.175,260,1885.96,1876.21,0.186031,0.9996,0.475623,0.475623,1.0,0.0,,1.0,,
34.075,119.425,254,1886.84,1876.77,0.182218,0.9986,0.454629,0.454629,1.0,0.0,,1.0,,
34.075,119.675,264,1889.32,1880.69,0.144991,0.9996,0.252787,0.252787,1.0,0.0,,1.0,,
34.075,119.925,253,1889.06,1880.08,0.149888,0.9986,0.17237,0.17237,1.0,0.0,,1.0,,
34.075,120.175,194,1888.83,1877.25,0.07656,0.9996,0.366533,0.366533,1.0,0.0,,1.0,,
34.075,120.425,14,1872.28,1846.74,0.017341,0.9996,0.313674,0.313674,0.1915,0.8085,,0.1915,,
34.075,120.675,4,1882.1,1874.89,0.0,0.9986,,,0.0,1.0,,,,
34.075,120.925,14,1867.56,1860.4,0.0,0.9996,,,0.0,1.0,,,,
34.075,121.175,21,1859.09,1851.96,0.0,0.9996,,,0.0,1.0,,,,
34.075,121.425,22,1858.85,1851.73,0.0,0.9986,,,0.0,1.0,,,,
34.075,121.675,27,1854.82,1847.7,0.0,0.9996,,,0.0,1.0,,,,
34.075,121.925,54,1860.41,1853.27,0.0,0.9996,,,0.0,1.0,,,,
34.075,122.175,49,1856.58,1849.46,0.0,0.9986,,,0.0,1.0,,,,
34.075,122.425,83,1862.33,1855.19,0.0,0.9996,,,0.0,1.0,,,,
33.825,114.925,242,1892.79,1885.19,0.138866,0.9996,,,0.0,1.0,,,,
33.825,115.175,357,1893.2,1885.44,0.108047,1.0007,,,0.0,1.0,,,,
33.825,115.425,348,1893.23,1885.45,0.119532,1.0007,,,0.0,1.0,,,,
33.825,115.675,310,1892.38,1886.07,0.181398,0.9996,,,0.0,0.1716,0.8284,,,
33.825,115.925,319,1893.28,1886.53,0.097319,1.0007,,,0.0,0.0993,0.9007,,,
33.825,116.175,331,1895.48,1887.71,0.057831,1.0007,,,0.0,0.8239,0.1761,,,
33.825,116.425,276,1896.58,1888.93,0.15372,0.9996,,,0.0,0.5318,0.4682,,,
33.825,116.675,243,1895.98,1888.39,0.178773,1.0007,,,0.0,0.0671,0.9329,,,
33.825,116.925,292,1895.09,1888.5,0.171884,1.0007,,,0.0,0.0,1.0,,,
33.825,117.175,380,1894.26,1886.09,0.057442,0.9996,,,0.0,0.0,1.0,,,
33.825,117.425,356,1893.61,1885.15,0.095229,1.0007,,,0.0,0.0,1.0,,,
33.825,117.675,369,1893.31,1886.13,0.172906,1.0007,0.095312,0.095312,0.2752,0.0,0.7248,0.2752,,
33.825,117.925,377,1891.81,1884.45,0.229624,0.9996,0.206731,0.206731,0.8366,0.0,0.1634,0.8366,,
33.825,118.175,260,1891.34,1883.86,0.277304,1.0007,0.174233,0.174233,0.8863,0.0,0.1137,0.8863,,
33.825,118.425,274,1889.96,1882.04,0.238776,1.0007,0.241455,0.241455,1.0,0.0,,1.0,,
33.825,118.675,276,1890.46,1882.36,0.19791,0.9996,0.319548,0.319548,1.0,0.0,,1.0,,
33.825,118.925,314,1888.02,1879.04,0.171106,1.0007,0.392026,0.392026,1.0,0.0,,1.0,,
33.825,119.175,273,1888.14,1879.77,0.243879,1.0007,0.361052,0.361052,1.0,0.0,,1.0,,
33.825,119.425,266,1887.41,1877.53,0.095972,0.9996,0.461418,0.461418,1.0,0.0,,1.0,,
33.825,119.675,256,1889.53,1879.48,0.116446,1.0007,0.328583,0.328583,1.0,0.0,,1.0,,
33.825,119.925,238,1889.42,1878.76,0.084709,0.9996,0.328452,0.328452,1.0,0.0,,1.0,,
33.825,120.175,188,1893.9,1883.42,0.124398,1.0007,0.264909,0.264909,1.0,0.0,,1.0,,
33.825,120.425,34,1902.15,1887.68,0.059753,1.0007,0.290265,0.290265,0.5819,0.4181,,0.5819,,
33.825,120.675,1,1864.98,1857.82,0.0,0.9996,,,0.0,1.0,,,,
33.825,120.925,5,1863.04,1855.89,0.0,1.0007,,,0.0,1.0,,,,
33.825,121.175,23,1858.54,1851.42,0.0,1.0007,,,0.0,1.0,,,,
33.825,121.425,23,1860.97,1853.83,0.0,0.9996,,,0.0,1.0,,,,
33.825,121.675,32,1862.93,1855.78,0.0,1.0007,,,0.0,1.0,,,,
33.825,121.925,64,1857.02,1849.89,0.0,1.0007,,,0.0,1.0,,,,
33.825,122.175,58,1859.93,1852.79,0.0,0.9996,,,0.0,1.0,,,,
33.825,122.425,72,1867.61,1860.44,0.0,1.0007,,,0.0,1.0,,,,
33.575,114.925,282,1894.18,1887.71,0.129944,0.9996,,,0.0,1.0,,,,
33.575,115.175,319,1894.07,1887.27,0.125817,1.0007,,,0.0,1.0,,,,
33.575,115.425,348,1892.79,1885.25,0.063247,1.0007,,,0.0,0.708,0.292,,,
33.575,115.675,335,1892.58,1885.61,0.053547,0.9996,,,0.0,0.1423,0.8577,,,
33.575,115.925,341,1895.19,1888.2,0.069039,1.0007,,,0.0,0.0,1.0,,,
33.575,116.175,295,1893.69,1886.41,0.136297,1.0007,,,0.0,0.0,1.0,,,
33.575,116.425,313,1897.47,1890.65,0.100336,0.9996,,,0.0,0.0,1.0,,,
33.575,116.675,304,1899.1,1891.52,0.129829,1.0007,,,0.0,0.0,1.0,,,
33.575,116.925,334,1897.72,1891.4,0.218423,1.0007,,,0.0,0.0,1.0,,,
33.575,117.175,237,1900.72,1891.25,0.104767,0.9996,,,0.0,0.0,1.0,,,
33.575,117.425,394,1894.96,1886.78,0.101466,1.0007,,,0.0,0.0,1.0,,,
33.575,117.675,385,1893.52,1886.1,0.141172,1.0007,,,0.0,0.0,1.0,,,
33.575,117.925,358,1894.86,1887.93,0.16781,0.9996,0.205456,0.205456,0.0023,0.0,0.9977,0.0023,,
33.575,118.175,317,1891.55,1883.72,0.172559,1.0007,0.203025,0.203025,0.7183,0.0,0.2818,0.7182,,
33.575,118.425,108,1890.57,1879.08,0.067489,1.0007,0.245612,0.245612,1.0,0.0,,1.0,,
33.575,118.675,62,1891.25,1883.13,0.15349,0.9996,0.189083,0.189083,1.0,0.0,,1.0,,
33.575,118.925,170,1890.55,1881.85,0.395936,1.0007,0.154898,0.154898,1.0,0.0,,1.0,,
33.575,119.175,218,1892.2,1883.57,0.447363,1.0007,0.214233,0.214233,1.0,0.0,,1.0,,
33.575,119.425,234,1889.24,1877.81,0.124,0.9996,0.374554,0.374554,1.0,0.0,,1.0,,
33.575,119.675,217,1892.0,1880.16,0.132221,1.0007,0.333745,0.333745,1.0,0.0,,1.0,,
33.575,119.925,207,1893.24,1882.23,0.089786,0.9996,0.452627,0.452627,1.0,0.0,,1.0,,
33.575,120.175,169,1895.88,1886.48,0.088296,1.0007,0.336593,0.336593,1.0,0.0,,1.0,,
33.575,120.425,74,1897.48,1887.1,0.09949,1.0007,0.229032,0.229032,0.9284,0.0716,,0.9284,,
33.575,120.675,8,1895.53,1877.01,0.00799,0.9996,0.18335,0.18335,0.09,0.91,,0.09,,
33.575,120.925,1,1880.06,1872.85,0.0,1.0007,,,0.0,1.0,,,,
33.575,121.175,11,1850.52,1843.43,0.0,1.0007,,,0.0,1.0,,,,
33.575,121.425,18,1857.69,1850.57,0.0,0.9996,,,0.0,1.0,,,,
33.575,121.675,32,1855.3,1848.19,0.0,1.0007,,,0.0,1.0,,,,
