centre_lat,centre_lon,sounding_count,in_box_prefilter,in_box_retrieved,months_observed,ch4_bias_corrected_ppb,within_cell_sd_ppb,weight_by_count,weight_representativeness
33.0750,116.9250,198,2040,434,8,1895.02,20.052,198,0.00246104
33.0750,117.1750,205,2048,407,8,1897.62,20.900,205,0.00226802
33.0750,117.4250,236,2048,442,8,1897.98,22.828,236,0.00190587
33.0750,117.6750,139,2055,428,8,1901.54,25.274,139,0.00155086
33.0750,117.9250,61,2087,361,6,1904.62,25.262,61,0.00153380
33.0750,118.1750,67,2016,319,7,1896.38,20.642,67,0.00227966
33.0750,118.4250,57,2054,340,6,1891.62,22.179,57,0.00197368
33.0750,118.6750,49,2066,307,8,1886.21,19.109,49,0.00261569
33.0750,118.9250,90,2083,392,7,1893.26,20.920,90,0.00223715
33.0750,119.1750,64,2059,371,6,1891.44,24.099,64,0.00168373
33.0750,119.4250,116,2076,348,8,1890.12,19.866,116,0.00248802
33.0750,119.6750,152,2031,370,8,1889.47,17.499,152,0.00320772
33.0750,119.9250,139,2015,362,8,1892.77,17.389,139,0.00324241
33.0750,120.1750,209,2081,347,8,1891.72,19.304,209,0.00265482
33.0750,120.4250,190,2023,316,8,1889.97,20.873,190,0.00227218
33.0750,120.6750,99,2088,278,8,1890.58,23.607,99,0.00176744
33.0750,120.9250,5,2067,26,3,1913.12,10.851,5,0.00349725
33.0750,121.1750,0,2068,3,0,,,0,
33.0750,121.4250,7,2043,15,2,1856.39,4.524,7,0.00711184
33.0750,121.6750,28,2069,40,3,1860.20,8.496,28,0.00978242
33.0750,121.9250,42,2080,67,5,1858.82,8.853,42,0.01016231
33.0750,122.1750,47,2043,71,5,1859.17,11.598,47,0.00656123
33.0750,122.4250,45,2077,66,5,1867.35,10.372,45,0.00791907
32.8250,114.9250,285,2074,447,8,1893.74,17.082,285,0.00339259
32.8250,115.1750,332,2019,443,8,1894.06,18.305,332,0.00296213
32.8250,115.4250,347,2038,469,8,1893.66,15.464,347,0.00413961
32.8250,115.6750,321,2040,452,8,1895.23,15.454,321,0.00414195
32.8250,115.9250,345,2086,442,8,1895.54,16.722,345,0.00354516
32.8250,116.1750,224,2027,426,8,1896.31,18.510,224,0.00288717
32.8250,116.4250,177,2048,426,8,1902.07,23.382,177,0.00181330
32.8250,116.6750,167,2038,451,8,1903.05,22.354,167,0.00198124
32.8250,116.9250,188,2038,427,8,1901.50,24.454,188,0.00165976
32.8250,117.1750,145,2076,376,7,1901.16,26.178,145,0.00144697
32.8250,117.4250,243,2048,448,8,1894.26,20.274,243,0.00241266
32.8250,117.6750,223,2073,465,8,1894.54,19.784,223,0.00253056
32.8250,117.9250,142,2091,391,8,1893.58,24.339,142,0.00167133
32.8250,118.1750,127,2005,366,8,1892.03,22.302,127,0.00198419
32.8250,118.4250,200,2048,416,8,1889.38,24.109,200,0.00170806
32.8250,118.6750,189,2054,449,8,1887.71,23.373,189,0.00181570
32.8250,118.9250,202,2065,473,8,1889.27,20.763,202,0.00229734
32.8250,119.1750,7,2090,183,3,1891.73,15.455,7,0.00278541
32.8250,119.4250,31,2044,228,7,1887.73,25.276,31,0.00150148
32.8250,119.6750,244,2083,418,8,1889.23,19.502,244,0.00260577
32.8250,119.9250,222,2021,408,8,1891.35,17.812,222,0.00311466
32.8250,120.1750,198,2043,364,8,1892.45,21.214,198,0.00220119
32.8250,120.4250,181,2070,328,7,1890.49,20.033,181,0.00246321
32.8250,120.6750,157,2098,297,8,1888.56,24.248,157,0.00168537
32.8250,120.9250,19,2028,119,5,1897.28,17.776,19,0.00277587
32.8250,121.1750,0,2058,1,0,,,0,
32.8250,121.4250,2,2046,15,1,1860.04,7.940,2,0.00206808
32.8250,121.6750,26,2043,48,3,1856.06,10.236,26,0.00729272
32.8250,121.9250,40,2094,51,4,1855.18,14.927,40,0.00410084
32.8250,122.1750,49,2064,61,5,1857.49,14.218,49,0.00455962
32.8250,122.4250,40,2078,52,4,1863.06,9.022,40,0.00976281
32.5750,114.9250,298,2024,430,8,1896.29,20.303,298,0.00240943
32.5750,115.1750,345,2029,451,8,1892.65,18.564,345,0.00288128
32.5750,115.4250,342,2055,457,7,1894.73,18.314,342,0.00295986
32.5750,115.6750,315,2074,454,8,1895.62,20.472,315,0.00237095
32.5750,115.9250,226,2035,452,8,1898.11,24.359,226,0.00167487
32.5750,116.1750,161,2054,382,8,1902.36,28.888,161,0.00119081
32.5750,116.4250,135,2104,427,7,1906.13,30.486,135,0.00106881
32.5750,116.6750,105,1991,355,7,1907.11,30.588,105,0.00105970
32.5750,116.9250,85,2047,307,7,1907.46,28.294,85,0.00123391
32.5750,117.1750,171,2062,408,7,1903.97,30.775,171,0.00105039
32.5750,117.4250,227,2028,431,8,1895.21,20.473,227,0.00236487
32.5750,117.6750,213,2093,438,8,1892.40,19.630,213,0.00256883
32.5750,117.9250,245,2041,429,8,1891.12,19.908,245,0.00250138
32.5750,118.1750,283,2074,421,8,1888.01,20.203,283,0.00243234
32.5750,118.4250,297,2012,437,8,1889.33,19.196,297,0.00269310
32.5750,118.6750,244,2023,440,8,1886.90,21.838,244,0.00208176
32.5750,118.9250,219,2082,449,8,1890.95,19.179,219,0.00269062
32.5750,119.1750,218,2083,486,8,1890.55,18.570,218,0.00286780
32.5750,119.4250,64,2061,318,6,1889.05,16.320,64,0.00357822
32.5750,119.6750,247,2027,423,8,1889.71,16.803,247,0.00349950
32.5750,119.9250,248,2047,398,8,1891.48,17.801,248,0.00312252
32.5750,120.1750,203,2044,366,8,1894.50,19.888,203,0.00250205
32.5750,120.4250,147,2111,290,8,1894.20,19.210,147,0.00266859
32.5750,120.6750,146,2030,271,8,1890.34,24.462,146,0.00165527
32.5750,120.9250,40,2074,162,8,1892.79,22.147,40,0.00195501
32.5750,121.1750,2,2094,56,1,1915.91,2.719,2,0.00233703
32.5750,121.4250,3,2015,22,1,1854.01,10.124,3,0.00261210
32.5750,121.6750,27,2036,53,4,1856.21,10.210,27,0.00738649
