centre_lat,centre_lon,impervious_fraction,impervious_coverage
31.075,121.675,0.468742,0.9996
31.075,121.925,0.071798,0.9996
31.075,122.175,0.0,0.9986
31.075,122.425,0.0,0.9996
30.825,114.925,0.040886,0.9996
30.825,115.175,0.010517,1.0007
30.825,115.425,0.0189,1.0007
30.825,115.675,0.016847,0.9996
30.825,116.425,0.015556,0.9996
30.825,116.675,0.02963,1.0007
30.825,116.925,0.055941,1.0007
30.825,117.175,0.028148,0.9996
30.825,117.425,0.044147,1.0007
30.825,117.675,0.094973,1.0007
30.825,117.925,0.076892,0.9996
30.825,118.175,0.015825,1.0007
30.825,118.425,0.046669,1.0007
30.825,118.675,0.049434,0.9996
30.825,118.925,0.040143,1.0007
30.825,119.175,0.00989,1.0007
30.825,119.425,0.062418,0.9996
30.825,119.675,0.059961,1.0007
30.825,119.925,0.089662,0.9996
30.825,120.175,0.223969,1.0007
30.825,120.425,0.218776,1.0007
30.825,120.675,0.295146,0.9996
30.825,120.925,0.256323,1.0007
30.825,121.175,0.142342,1.0007
30.825,121.425,0.250698,0.9996
30.825,121.675,0.114682,1.0007
30.825,122.175,0.0,0.9996
30.825,122.425,0.008574,1.0007
30.575,114.925,0.095584,0.9996
30.575,115.175,0.025551,1.0007
30.575,115.425,0.010914,1.0007
30.575,115.675,0.003634,0.9996
30.575,115.925,0.007944,1.0007
30.575,116.175,0.004967,1.0007
30.575,116.425,0.029227,0.9996
30.575,116.675,0.049624,1.0007
30.575,116.925,0.107899,1.0007
30.575,117.175,0.123652,0.9996
30.575,117.425,0.067685,1.0007
30.575,117.675,0.032248,1.0007
30.575,117.925,0.02977,0.9996
30.575,118.175,0.015531,1.0007
30.575,118.425,0.027761,1.0007
30.575,118.675,0.001491,0.9996
30.575,118.925,0.057638,1.0007
30.575,119.175,0.008505,1.0007
30.575,119.425,0.011993,0.9996
30.575,119.675,0.083188,1.0007
30.575,119.925,0.08236,0.9996
30.575,120.175,0.221127,1.0007
30.575,120.425,0.214242,1.0007
30.575,120.675,0.228015,0.9996
30.575,120.925,0.154065,1.0007
30.575,121.175,0.069608,1.0007
