granule,acquired,pixel_size,soundings_read,soundings_valid_global,in_box_total,in_box_retrieved,in_box_passed,no_retrieval_share,threshold_rejected_share
S5P_RPRO_L2__CH4____20180530T042222_20180530T060352_03246_03_020400_20221110T082834.nc,2018-05-30T04:22:22,7.0x7.0 km2,697890,65438,12179,92,13,0.992446,0.858696
S5P_RPRO_L2__CH4____20180530T060352_20180530T074522_03247_03_020400_20221110T082841.nc,2018-05-30T06:03:52,7.0x7.0 km2,697675,4042,0,0,0,,
S5P_RPRO_L2__CH4____20180531T040322_20180531T054452_03260_03_020400_20221110T091918.nc,2018-05-31T04:03:22,7.0x7.0 km2,697890,55439,9642,927,550,0.903858,0.406688
S5P_RPRO_L2__CH4____20180531T054452_20180531T072622_03261_03_020400_20221110T091920.nc,2018-05-31T05:44:52,7.0x7.0 km2,697675,3734,0,0,0,,
S5P_RPRO_L2__CH4____20180601T034421_20180601T052551_03274_03_020400_20221110T091944.nc,2018-06-01T03:44:21,7.0x7.0 km2,697675,61476,5498,1034,454,0.811932,0.560928
S5P_RPRO_L2__CH4____20180601T052551_20180601T070721_03275_03_020400_20221110T091946.nc,2018-06-01T05:25:51,7.0x7.0 km2,697675,12534,828,0,0,1.000000,
S5P_RPRO_L2__CH4____20180602T032520_20180602T050650_03288_03_020400_20221110T100801.nc,2018-06-02T03:25:20,7.0x7.0 km2,697675,49781,2136,0,0,1.000000,
S5P_RPRO_L2__CH4____20180602T050650_20180602T064820_03289_03_020400_20221110T100802.nc,2018-06-02T05:06:50,7.0x7.0 km2,697675,32496,3992,0,0,1.000000,
S5P_RPRO_L2__CH4____20180603T030619_20180603T044749_03302_03_020400_20221110T100830.nc,2018-06-03T03:06:19,7.0x7.0 km2,697675,33564,162,0,0,1.000000,
S5P_RPRO_L2__CH4____20180603T044749_20180603T062919_03303_03_020400_20221110T100832.nc,2018-06-03T04:47:49,7.0x7.0 km2,697890,55486,8064,810,207,0.899554,0.744444
S5P_RPRO_L2__CH4____20180603T062919_20180603T081049_03304_03_020400_20221110T100836.nc,2018-06-03T06:29:19,7.0x7.0 km2,697675,5609,0,0,0,,
S5P_RPRO_L2__CH4____20180604T024718_20180604T042848_03316_03_020400_20221110T101911.nc,2018-06-04T02:47:18,7.0x7.0 km2,697675,18212,0,0,0,,
S5P_RPRO_L2__CH4____20180604T042848_20180604T061018_03317_03_020400_20221110T102922.nc,2018-06-04T04:28:48,7.0x7.0 km2,697675,54220,11840,93,20,0.992145,0.784946
S5P_RPRO_L2__CH4____20180604T061018_20180604T075148_03318_03_020400_20221110T102924.nc,2018-06-04T06:10:18,7.0x7.0 km2,697890,4489,0,0,0,,
S5P_RPRO_L2__CH4____20180605T040947_20180605T055117_03331_03_020400_20221110T111041.nc,2018-06-05T04:09:47,7.0x7.0 km2,697675,50935,10927,431,213,0.960556,0.505800
S5P_RPRO_L2__CH4____20180605T055117_20180605T073247_03332_03_020400_20221110T111042.nc,2018-06-05T05:51:17,7.0x7.0 km2,697890,7115,0,0,0,,
S5P_RPRO_L2__CH4____20180606T035045_20180606T053215_03345_03_020400_20221110T111103.nc,2018-06-06T03:50:45,7.0x7.0 km2,697675,46430,6721,1806,1055,0.731290,0.415836
S5P_RPRO_L2__CH4____20180606T053215_20180606T071345_03346_03_020400_20221110T111105.nc,2018-06-06T05:32:15,7.0x7.0 km2,697675,7651,174,0,0,1.000000,
S5P_RPRO_L2__CH4____20180607T033144_20180607T051314_03359_03_020400_20221110T112204.nc,2018-06-07T03:31:44,7.0x7.0 km2,624790,37926,3168,301,77,0.904987,0.744186
S5P_RPRO_L2__CH4____20180607T051314_20180607T065444_03360_03_020400_20221110T113245.nc,2018-06-07T05:13:14,7.0x7.0 km2,697675,11276,2724,259,103,0.904919,0.602317
S5P_RPRO_L2__CH4____20180608T031242_20180608T045412_03373_03_020400_20221110T123812.nc,2018-06-08T03:12:42,7.0x7.0 km2,624575,25157,575,0,0,1.000000,
S5P_RPRO_L2__CH4____20180608T045412_20180608T063542_03374_03_020400_20221110T123814.nc,2018-06-08T04:54:12,7.0x7.0 km2,697675,19359,6656,175,20,0.973708,0.885714
S5P_RPRO_L2__CH4____20180608T063542_20180608T081712_03375_03_020400_20221110T123816.nc,2018-06-08T06:35:42,7.0x7.0 km2,697675,6824,0,0,0,,
S5P_RPRO_L2__CH4____20180609T025340_20180609T043510_03387_03_020400_20221110T132155.nc,2018-06-09T02:53:40,7.0x7.0 km2,697245,15396,0,0,0,,
S5P_RPRO_L2__CH4____20180609T043510_20180609T061640_03388_03_020400_20221110T132156.nc,2018-06-09T04:35:10,7.0x7.0 km2,624790,28611,10922,78,27,0.992858,0.653846
S5P_RPRO_L2__CH4____20180609T061640_20180609T075810_03389_03_020400_20221110T132158.nc,2018-06-09T06:16:40,7.0x7.0 km2,697675,6596,0,0,0,,
S5P_RPRO_L2__CH4____20180610T041608_20180610T055738_03402_03_020400_20221110T142723.nc,2018-06-10T04:16:08,7.0x7.0 km2,697890,38984,11836,84,3,0.992903,0.964286
S5P_RPRO_L2__CH4____20180610T055738_20180610T073908_03403_03_020400_20221110T143812.nc,2018-06-10T05:57:38,7.0x7.0 km2,624575,12269,0,0,0,,
S5P_RPRO_L2__CH4____20180611T035707_20180611T053836_03416_03_020400_20221110T153227.nc,2018-06-11T03:57:07,7.0x7.0 km2,697890,43029,8104,2668,1253,0.670780,0.530360
S5P_RPRO_L2__CH4____20180611T053836_20180611T072006_03417_03_020400_20221110T153229.nc,2018-06-11T05:38:36,7.0x7.0 km2,695310,18056,0,0,0,,
S5P_RPRO_L2__CH4____20180612T033804_20180612T051934_03430_03_020400_20221110T161536.nc,2018-06-12T03:38:04,7.0x7.0 km2,697675,35922,4287,782,305,0.817588,0.609974
S5P_RPRO_L2__CH4____20180612T051934_20180612T070104_03431_03_020400_20221110T161538.nc,2018-06-12T05:19:34,7.0x7.0 km2,697675,25230,1696,256,172,0.849057,0.328125
S5P_RPRO_L2__CH4____20180613T031902_20180613T050032_03444_03_020400_20221110T164815.nc,2018-06-13T03:19:02,7.0x7.0 km2,697675,13571,1247,0,0,1.000000,
S5P_RPRO_L2__CH4____20180613T050032_20180613T064202_03445_03_020400_20221110T164816.nc,2018-06-13T05:00:32,7.0x7.0 km2,697675,37943,5406,784,333,0.854976,0.575255
S5P_RPRO_L2__CH4____20180613T064202_20180613T082332_03446_03_020400_20221110T165913.nc,2018-06-13T06:42:02,7.0x7.0 km2,697890,3634,0,0,0,,
S5P_RPRO_L2__CH4____20180615T042227_20180615T060357_03473_03_020400_20221110T174253.nc,2018-06-15T04:22:27,7.0x7.0 km2,697890,0,12181,1167,0,0.904195,1.000000
S5P_RPRO_L2__CH4____20180615T060357_20180615T074527_03474_03_020400_20221110T175345.nc,2018-06-15T06:03:57,7.0x7.0 km2,697890,0,0,0,0,,
S5P_RPRO_L2__CH4____20180616T040326_20180616T054456_03487_03_020400_20221110T182613.nc,2018-06-16T04:03:26,7.0x7.0 km2,697675,35396,9549,653,152,0.931616,0.767228
S5P_RPRO_L2__CH4____20180616T054456_20180616T072626_03488_03_020400_20221110T182614.nc,2018-06-16T05:44:56,7.0x7.0 km2,697675,15547,0,0,0,,
S5P_RPRO_L2__CH4____20180617T034425_20180617T052555_03501_03_020400_20221110T192036.nc,2018-06-17T03:44:25,7.0x7.0 km2,697675,42538,5435,380,66,0.930083,0.826316
S5P_RPRO_L2__CH4____20180617T052555_20180617T070725_03502_03_020400_20221110T192050.nc,2018-06-17T05:25:55,7.0x7.0 km2,697675,29518,870,0,0,1.000000,
S5P_RPRO_L2__CH4____20180618T032524_20180618T050654_03515_03_020400_20221110T194247.nc,2018-06-18T03:25:24,7.0x7.0 km2,697675,37491,2093,7,0,0.996656,1.000000
S5P_RPRO_L2__CH4____20180618T050654_20180618T064824_03516_03_020400_20221110T194249.nc,2018-06-18T05:06:54,7.0x7.0 km2,697890,28052,4053,268,30,0.933876,0.888060
S5P_RPRO_L2__CH4____20180619T030623_20180619T044753_03529_03_020400_20221110T201517.nc,2018-06-19T03:06:23,7.0x7.0 km2,697675,21793,151,0,0,1.000000,
