model,scheme,weighting,n,dropped_missing,in_sample_rmse_ppb,in_sample_r2,held_out_rmse_ppb,held_out_r2,detail
"OLS wind (u, v, speed) [rice sample]",spatial blocks,unweighted,531,0,7.3054,0.3465,7.588,0.2949,intercept +1891.3008; wind_u +3.6968; wind_v -2.0688; wind_speed -0.4751
"OLS wind (u, v, speed) [rice sample]",spatial blocks,by sounding count,531,0,4.1036,0.0782,4.4134,-0.0663,intercept +1894.5097; wind_u +1.4423; wind_v -0.4148; wind_speed -1.8223
OLS albedo (SWIR) [rice sample],leave-one-province-out,unweighted,531,0,8.497,0.1159,8.932,0.023,intercept +1885.2226; surface_albedo_SWIR +94.7428
OLS albedo (SWIR) [rice sample],leave-one-province-out,by sounding count,531,0,4.2349,0.0182,5.3184,-0.5484,intercept +1890.7948; surface_albedo_SWIR +26.1075
OLS albedo (SWIR) [rice sample],spatial blocks,unweighted,531,0,8.497,0.1159,8.7716,0.0578,intercept +1885.2226; surface_albedo_SWIR +94.7428
OLS albedo (SWIR) [rice sample],spatial blocks,by sounding count,531,0,4.2349,0.0182,4.5136,-0.1153,intercept +1890.7948; surface_albedo_SWIR +26.1075
OLS wind + both fractions,leave-one-province-out,unweighted,531,395,7.2748,0.3519,8.9966,0.0089,intercept +1891.1958; wind_u +3.4846; wind_v -2.0531; wind_speed -0.5289; impervious_fraction +4.4456; rice_fraction_single -2.6146
OLS wind + both fractions,leave-one-province-out,by sounding count,531,395,4.0297,0.1111,6.6404,-1.4139,intercept +1894.2396; wind_u +0.7447; wind_v -0.5560; wind_speed -2.1951; impervious_fraction +7.2572; rice_fraction_single -1.7889
OLS wind + both fractions,spatial blocks,unweighted,531,395,7.2748,0.3519,7.5588,0.3003,intercept +1891.1958; wind_u +3.4846; wind_v -2.0531; wind_speed -0.5289; impervious_fraction +4.4456; rice_fraction_single -2.6146
OLS wind + both fractions,spatial blocks,by sounding count,531,395,4.0297,0.1111,4.3868,-0.0535,intercept +1894.2396; wind_u +0.7447; wind_v -0.5560; wind_speed -2.1951; impervious_fraction +7.2572; rice_fraction_single -1.7889
OLS full covariates + both fractions,leave-one-province-out,unweighted,531,395,6.8537,0.4248,9.9865,-0.2213,intercept +3754.7931; wind_u +2.6407; wind_v -2.0575; wind_speed -0.5453; surface_albedo_SWIR +42.9000; surface_albedo_NIR +3.7015; solar_zenith_angle +0.7295; surface_altitude -0.2112; surface_pressure -0.0186; impervious_fraction +8.2004; rice_fraction_single +0.9218
OLS full covariates + both fractions,leave-one-province-out,by sounding count,531,395,3.8243,0.1994,6.9331,-1.6314,intercept +3381.9428; wind_u +0.6034; wind_v -1.2423; wind_speed -2.9146; surface_albedo_SWIR +18.1168; surface_albedo_NIR -45.3261; solar_zenith_angle +0.7425; surface_altitude -0.1888; surface_pressure -0.0148; impervious_fraction +6.3778; rice_fraction_single +1.8917
OLS full covariates + both fractions,spatial blocks,unweighted,531,395,6.8537,0.4248,7.7286,0.2686,intercept +3754.7931; wind_u +2.6407; wind_v -2.0575; wind_speed -0.5453; surface_albedo_SWIR +42.9000; surface_albedo_NIR +3.7015; solar_zenith_angle +0.7295; surface_altitude -0.2112; surface_pressure -0.0186; impervious_fraction +8.2004; rice_fraction_single +0.9218
OLS full covariates + both fractions,spatial blocks,by sounding count,531,395,3.8243,0.1994,4.4265,-0.0726,intercept +3381.9428; wind_u +0.6034; wind_v -1.2423; wind_speed -2.9146; surface_albedo_SWIR +18.1168; surface_albedo_NIR -45.3261; solar_zenith_angle +0.7425; surface_altitude -0.1888; surface_pressure -0.0148; impervious_fraction +6.3778; rice_fraction_single +1.8917
OLS wind + trend surface,leave-one-province-out,unweighted,926,0,7.5782,0.6732,8.1079,0.6259,intercept +1985.3206; wind_u +3.6637; wind_v -2.4829; wind_speed -0.1607; centre_lat -0.2209; centre_lon -0.7440
OLS wind + trend surface,leave-one-province-out,by sounding count,926,0,3.913,0.6805,4.7769,0.5238,intercept +2038.4131; wind_u +3.1147; wind_v -1.7390; wind_speed -1.2832; centre_lat -1.0413; centre_lon -0.9522
OLS wind + trend surface,spatial blocks,unweighted,926,0,7.5782,0.6732,7.7956,0.6542,intercept +1985.3206; wind_u +3.6637; wind_v -2.4829; wind_speed -0.1607; centre_lat -0.2209; centre_lon -0.7440
OLS wind + trend surface,spatial blocks,by sounding count,926,0,3.913,0.6805,4.0464,0.6583,intercept +2038.4131; wind_u +3.1147; wind_v -1.7390; wind_speed -1.2832; centre_lat -1.0413; centre_lon -0.9522
OLS sampling composition (when observed),leave-one-province-out,unweighted,926,0,10.0308,0.4274,11.4415,0.255,intercept +1889.0209; sampling_season +0.9008
OLS sampling composition (when observed),leave-one-province-out,by sounding count,926,0,5.3768,0.3967,7.706,-0.2391,intercept +1889.4253; sampling_season +0.8843
OLS sampling composition (when observed),spatial blocks,unweighted,926,0,10.0308,0.4274,10.0761,0.4222,intercept +1889.0209; sampling_season +0.9008
OLS sampling composition (when observed),spatial blocks,by sounding count,926,0,5.3768,0.3967,5.4777,0.3739,intercept +1889.4253; sampling_season +0.8843
