centre_lat,centre_lon,sounding_count,ch4_deseasonalised_ppb,mean_day_of_year,day_of_year_sd,poorly_identified
33.0750,118.6750,49,1888.3481,266.461,76.567,0
33.0750,118.9250,90,1892.0486,260.507,71.858,0
33.0750,119.1750,64,1889.3826,227.236,64.238,0
33.0750,119.4250,116,1889.6872,264.733,68.861,0
33.0750,119.6750,152,1888.2019,269.795,64.448,0
33.0750,119.9250,139,1893.5358,266.981,71.855,0
33.0750,120.1750,209,1893.1584,257.760,73.198,0
33.0750,120.4250,190,1892.1830,266.856,73.790,0
33.0750,120.6750,99,1890.4753,275.630,65.176,0
33.0750,120.9250,5,1909.8932,292.146,27.086,0
33.0750,121.1750,0,,,,
33.0750,121.4250,7,1850.5871,211.453,19.422,0
33.0750,121.6750,28,1855.5881,208.273,24.413,0
33.0750,121.9250,42,1855.3771,203.713,32.826,0
33.0750,122.1750,47,1862.5807,181.589,42.123,0
33.0750,122.4250,57,1871.8262,173.828,45.333,0
32.8250,114.9250,285,1894.6015,277.173,71.527,0
32.8250,115.1750,332,1893.8293,275.611,67.596,0
32.8250,115.4250,347,1894.3235,274.795,70.875,0
32.8250,115.6750,321,1895.7009,274.553,70.168,0
32.8250,115.9250,345,1896.0739,266.289,73.535,0
32.8250,116.1750,224,1896.7239,277.337,74.063,0
32.8250,116.4250,177,1901.5755,278.874,73.477,0
32.8250,116.6750,167,1900.2653,258.869,71.462,0
32.8250,116.9250,188,1898.2103,249.776,67.908,0
32.8250,117.1750,145,1898.0957,258.186,69.786,0
32.8250,117.4250,243,1894.5905,275.437,71.912,0
32.8250,117.6750,223,1893.9752,276.311,68.157,0
32.8250,117.9250,142,1894.8704,276.437,73.082,0
32.8250,118.1750,127,1890.7833,279.922,62.694,0
32.8250,118.4250,200,1887.9350,277.569,61.056,0
32.8250,118.6750,189,1886.2901,275.364,64.377,0
32.8250,118.9250,202,1889.4149,270.348,74.005,0
32.8250,119.1750,7,1893.2128,322.600,29.866,0
32.8250,119.4250,31,1886.0933,294.656,56.010,0
32.8250,119.6750,244,1889.8711,279.376,68.240,0
32.8250,119.9250,222,1892.4499,283.241,68.591,0
32.8250,120.1750,198,1892.7353,278.687,67.581,0
32.8250,120.4250,181,1891.7778,273.354,68.960,0
32.8250,120.6750,157,1889.7229,278.783,70.203,0
32.8250,120.9250,19,1897.6974,295.426,49.129,0
32.8250,121.1750,0,,,,
32.8250,121.4250,2,1858.6370,199.169,0.000,1
32.8250,121.6750,26,1850.7274,208.090,32.391,0
32.8250,121.9250,40,1851.1242,204.916,36.714,0
32.8250,122.1750,49,1863.0797,171.184,44.004,0
32.8250,122.4250,50,1868.6600,178.322,43.403,0
32.5750,114.9250,298,1895.6525,272.836,66.347,0
32.5750,115.1750,345,1893.0502,276.414,67.329,0
32.5750,115.4250,342,1895.0387,275.630,69.052,0
32.5750,115.6750,315,1894.6534,276.099,65.602,0
32.5750,115.9250,226,1895.2019,273.941,59.468,0
32.5750,116.1750,161,1899.4688,261.324,65.916,0
32.5750,116.4250,135,1902.7633,263.226,66.468,0
32.5750,116.6750,105,1905.0807,261.085,72.101,0
32.5750,116.9250,85,1903.6136,262.121,66.840,0
32.5750,117.1750,171,1900.7404,261.390,66.879,0
32.5750,117.4250,227,1894.8707,276.193,65.726,0
32.5750,117.6750,213,1892.2654,282.714,61.840,0
32.5750,117.9250,245,1892.3063,281.493,67.117,0
32.5750,118.1750,283,1889.2238,275.843,69.479,0
32.5750,118.4250,297,1890.2497,279.939,66.628,0
32.5750,118.6750,244,1887.0566,274.211,68.977,0
32.5750,118.9250,219,1891.0782,269.581,71.256,0
32.5750,119.1750,218,1890.1215,283.661,62.914,0
32.5750,119.4250,64,1888.6481,291.426,68.678,0
32.5750,119.6750,247,1889.8687,292.512,61.355,0
32.5750,119.9250,248,1891.4370,295.104,56.751,0
32.5750,120.1750,203,1894.2807,285.625,62.741,0
32.5750,120.4250,147,1893.5392,285.090,59.575,0
32.5750,120.6750,146,1891.6497,275.662,70.337,0
32.5750,120.9250,40,1893.7440,295.762,56.607,0
32.5750,121.1750,2,1919.8888,313.135,0.000,1
32.5750,121.4250,3,1854.4720,195.833,2.359,1
32.5750,121.6750,27,1852.5714,205.499,31.972,0
32.5750,121.9250,39,1859.5210,188.910,42.630,0
32.5750,122.1750,47,1851.2920,199.933,41.210,0
32.5750,122.4250,33,1853.7508,202.891,39.311,0
32.3250,114.9250,305,1896.5236,267.144,68.040,0
32.3250,115.1750,284,1893.8906,263.831,69.604,0
32.3250,115.4250,298,1895.9565,264.409,69.611,0
32.3250,115.6750,296,1895.2842,268.839,68.381,0
32.3250,115.9250,236,1895.6526,266.407,69.315,0
32.3250,116.1750,54,1896.6122,259.759,68.368,0
32.3250,116.4250,40,1900.0018,268.154,66.699,0
32.3250,116.6750,86,1900.6275,264.692,75.089,0
32.3250,116.9250,15,1919.1934,239.643,50.951,0
32.3250,117.1750,221,1898.4763,276.674,65.406,0
32.3250,117.4250,264,1898.1969,266.176,69.014,0
32.3250,117.6750,230,1891.3797,265.288,65.309,0
32.3250,117.9250,268,1891.2019,274.694,69.394,0
32.3250,118.1750,243,1890.8800,279.474,67.650,0
32.3250,118.4250,187,1893.8567,279.921,69.356,0
32.3250,118.6750,259,1895.2683,276.430,67.551,0
32.3250,118.9250,227,1893.2921,279.381,64.054,0
32.3250,119.1750,153,1891.3747,281.226,63.232,0
32.3250,119.4250,133,1889.0272,289.747,66.545,0
32.3250,119.6750,84,1893.5063,301.006,57.843,0
32.3250,119.9250,165,1891.0543,290.716,60.200,0
32.3250,120.1750,233,1892.7403,287.494,64.486,0
32.3250,120.4250,174,1893.8378,287.805,63.444,0
32.3250,120.6750,148,1892.6414,280.395,62.773,0
32.3250,120.9250,131,1896.6774,281.185,68.494,0
32.3250,121.1750,87,1898.8060,286.462,68.661,0
32.3250,121.4250,4,1897.6486,284.415,48.529,0
32.3250,121.6750,11,1864.1009,168.168,37.963,0
32.3250,121.9250,34,1856.8112,189.431,45.667,0
32.3250,122.1750,43,1858.5331,195.190,40.502,0
32.3250,122.4250,32,1850.6282,201.132,46.014,0
32.0750,114.9250,257,1894.2941,269.776,64.155,0
32.0750,115.1750,303,1895.1633,258.861,67.848,0
32.0750,115.4250,322,1895.2558,263.501,71.208,0
32.0750,115.6750,296,1894.0829,267.770,68.687,0
32.0750,115.9250,295,1893.4930,266.922,66.222,0
32.0750,116.1750,258,1894.2871,263.030,72.419,0
32.0750,116.4250,227,1895.4871,262.964,70.374,0
32.0750,116.6750,282,1899.2902,259.771,72.893,0
32.0750,116.9250,306,1898.6604,265.661,71.106,0
32.0750,117.1750,290,1897.3144,274.629,68.993,0
32.0750,117.4250,278,1895.6106,277.147,62.229,0
32.0750,117.6750,318,1895.8024,279.686,63.592,0
32.0750,117.9250,260,1893.0993,277.384,63.743,0
32.0750,118.1750,250,1896.0568,274.869,66.025,0
32.0750,118.4250,241,1895.3167,283.007,62.542,0
32.0750,118.6750,133,1894.0080,298.323,37.275,0
32.0750,118.9250,185,1894.1949,291.480,48.298,0
32.0750,119.1750,218,1896.3599,286.811,59.189,0
32.0750,119.4250,231,1892.2762,290.256,58.412,0
32.0750,119.6750,181,1893.7064,287.173,66.141,0
32.0750,119.9250,77,1890.0163,301.910,50.203,0
