variant,model,scheme,weighting,n,held_out_r2,delta_vs_committed,delta_vs_matched,comparison,soundings,basis
both filters,OLS impervious_fraction + rice_fraction_single,spatial blocks,unweighted,498,0.0218,+0.0049,+0.0390,matched reference on the 752 surviving cells,99213,filter
both filters,OLS impervious_fraction + rice_fraction_single,spatial blocks,by sounding count,498,0.0244,+0.1019,+0.0548,matched reference on the 752 surviving cells,99213,filter
both filters,"OLS trend surface (lat, lon)",leave-one-province-out,unweighted,752,-0.0995,+0.1868,-0.0080,matched reference on the 752 surviving cells,99213,filter
both filters,"OLS trend surface (lat, lon)",leave-one-province-out,by sounding count,752,-0.0024,+0.0751,-0.0296,matched reference on the 752 surviving cells,99213,filter
both filters,"OLS trend surface (lat, lon)",spatial blocks,unweighted,752,-0.0201,-0.2602,-0.0110,matched reference on the 752 surviving cells,99213,filter
both filters,"OLS trend surface (lat, lon)",spatial blocks,by sounding count,752,0.0352,-0.2227,-0.0776,matched reference on the 752 surviving cells,99213,filter
both filters,"OLS wind (u, v, speed)",leave-one-province-out,unweighted,752,0.0375,-0.5957,-0.0603,matched reference on the 752 surviving cells,99213,filter
both filters,"OLS wind (u, v, speed)",leave-one-province-out,by sounding count,752,-0.2652,-0.5762,+0.2134,matched reference on the 752 surviving cells,99213,filter
both filters,"OLS wind (u, v, speed)",spatial blocks,unweighted,752,-0.0225,-0.6752,-0.1759,matched reference on the 752 surviving cells,99213,filter
both filters,"OLS wind (u, v, speed)",spatial blocks,by sounding count,752,-0.1599,-0.7226,-0.1212,matched reference on the 752 surviving cells,99213,filter
first-order destriping,constant (global mean),leave-one-province-out,unweighted,926,-0.1741,-0.0017,-0.0017,same cells as committed,110920,filter
first-order destriping,constant (global mean),leave-one-province-out,by sounding count,926,-0.0840,+0.0013,+0.0013,same cells as committed,110920,filter
first-order destriping,constant (global mean),spatial blocks,unweighted,926,-0.0069,+0.0015,+0.0015,same cells as committed,110920,filter
first-order destriping,constant (global mean),spatial blocks,by sounding count,926,-0.0031,+0.0000,+0.0000,same cells as committed,110920,filter
first-order destriping,spatial null (queen neighbour mean),leave-one-province-out,unweighted,926,-0.0993,-0.0081,-0.0081,same cells as committed,110920,filter
first-order destriping,spatial null (queen neighbour mean),leave-one-province-out,by sounding count,926,0.0033,+0.0005,+0.0005,same cells as committed,110920,filter
first-order destriping,spatial null (queen neighbour mean),spatial blocks,unweighted,926,0.3409,+0.0085,+0.0085,same cells as committed,110920,filter
first-order destriping,spatial null (queen neighbour mean),spatial blocks,by sounding count,926,0.5183,+0.0046,+0.0046,same cells as committed,110920,filter
first-order destriping,OLS impervious_fraction,leave-one-province-out,unweighted,926,-0.1079,+0.0095,+0.0095,same cells as committed,110920,filter
first-order destriping,OLS impervious_fraction,leave-one-province-out,by sounding count,926,-0.1591,+0.0029,+0.0029,same cells as committed,110920,filter
first-order destriping,OLS impervious_fraction,spatial blocks,unweighted,926,0.0923,+0.0076,+0.0076,same cells as committed,110920,filter
first-order destriping,OLS impervious_fraction,spatial blocks,by sounding count,926,0.0261,+0.0017,+0.0017,same cells as committed,110920,filter
first-order destriping,OLS rice_fraction_single,leave-one-province-out,unweighted,531,-0.0602,+0.0072,+0.0072,same cells as committed,110920,filter
first-order destriping,OLS rice_fraction_single,leave-one-province-out,by sounding count,531,-0.3950,+0.0190,+0.0190,same cells as committed,110920,filter
first-order destriping,OLS rice_fraction_single,spatial blocks,unweighted,531,-0.0293,+0.0021,+0.0021,same cells as committed,110920,filter
first-order destriping,OLS rice_fraction_single,spatial blocks,by sounding count,531,-0.0907,+0.0018,+0.0018,same cells as committed,110920,filter
first-order destriping,OLS impervious_fraction + rice_fraction_single,leave-one-province-out,unweighted,531,-0.1093,+0.0197,+0.0197,same cells as committed,110920,filter
first-order destriping,OLS impervious_fraction + rice_fraction_single,leave-one-province-out,by sounding count,531,-0.8130,+0.0324,+0.0324,same cells as committed,110920,filter
first-order destriping,OLS impervious_fraction + rice_fraction_single,spatial blocks,unweighted,531,0.0250,+0.0081,+0.0081,same cells as committed,110920,filter
first-order destriping,OLS impervious_fraction + rice_fraction_single,spatial blocks,by sounding count,531,-0.0734,+0.0041,+0.0041,same cells as committed,110920,filter
first-order destriping,"OLS trend surface (lat, lon)",leave-one-province-out,unweighted,926,-0.2830,+0.0033,+0.0033,same cells as committed,110920,filter
first-order destriping,"OLS trend surface (lat, lon)",leave-one-province-out,by sounding count,926,-0.0744,+0.0031,+0.0031,same cells as committed,110920,filter
first-order destriping,"OLS trend surface (lat, lon)",spatial blocks,unweighted,926,0.2566,+0.0165,+0.0165,same cells as committed,110920,filter
first-order destriping,"OLS trend surface (lat, lon)",spatial blocks,by sounding count,926,0.2711,+0.0132,+0.0132,same cells as committed,110920,filter
