predictors,model,scheme,weighting,n,in_sample_rmse_ppb,in_sample_r2,held_out_rmse_ppb,held_out_r2,beats_spatial_null
gaia+glorice,OLS impervious_fraction + rice_fraction_single + interaction,spatial blocks,by sounding count,927,7.1281,0.1627,7.4782,0.0784,no
gaia+glorice,"OLS trend surface (lat, lon)",leave-one-province-out,unweighted,927,12.7108,0.2689,16.7426,-0.2685,no
gaia+glorice,"OLS trend surface (lat, lon)",leave-one-province-out,by sounding count,927,6.5876,0.2849,8.0958,-0.0801,no
gaia+glorice,"OLS trend surface (lat, lon)",spatial blocks,unweighted,927,12.7108,0.2689,12.9453,0.2416,no
gaia+glorice,"OLS trend surface (lat, lon)",spatial blocks,by sounding count,927,6.5876,0.2849,6.6908,0.2623,no
gaia+glorice,"OLS wind (u, v, speed)",leave-one-province-out,unweighted,927,8.5884,0.6662,8.9739,0.6356,no
gaia+glorice,"OLS wind (u, v, speed)",leave-one-province-out,by sounding count,927,4.8988,0.6045,6.4324,0.3181,no
gaia+glorice,"OLS wind (u, v, speed)",spatial blocks,unweighted,927,8.5884,0.6662,8.754,0.6532,no
gaia+glorice,"OLS wind (u, v, speed)",spatial blocks,by sounding count,927,4.8988,0.6045,5.1249,0.5672,no
gaia+glorice,OLS albedo (SWIR),leave-one-province-out,unweighted,927,10.5888,0.4926,12.3318,0.3118,no
gaia+glorice,OLS albedo (SWIR),leave-one-province-out,by sounding count,927,6.235,0.3594,7.5183,0.0685,no
gaia+glorice,OLS albedo (SWIR),spatial blocks,unweighted,927,10.5888,0.4926,10.7297,0.479,no
gaia+glorice,OLS albedo (SWIR),spatial blocks,by sounding count,927,6.235,0.3594,6.3997,0.3251,no
gaia+glorice,OLS wind + impervious,leave-one-province-out,unweighted,927,8.5385,0.6701,9.1862,0.6181,no
gaia+glorice,OLS wind + impervious,leave-one-province-out,by sounding count,927,4.8924,0.6056,6.5365,0.2959,no
gaia+glorice,OLS wind + impervious,spatial blocks,unweighted,927,8.5385,0.6701,8.7451,0.6539,no
gaia+glorice,OLS wind + impervious,spatial blocks,by sounding count,927,4.8924,0.6056,5.1481,0.5632,no
gaia+glorice,"OLS wind (u, v, speed) [rice sample]",leave-one-province-out,unweighted,927,8.5884,0.6662,8.9739,0.6356,no
gaia+glorice,"OLS wind (u, v, speed) [rice sample]",leave-one-province-out,by sounding count,927,4.8988,0.6045,6.4324,0.3181,no
gaia+glorice,"OLS wind (u, v, speed) [rice sample]",spatial blocks,unweighted,927,8.5884,0.6662,8.754,0.6532,no
gaia+glorice,"OLS wind (u, v, speed) [rice sample]",spatial blocks,by sounding count,927,4.8988,0.6045,5.1249,0.5672,no
gaia+glorice,OLS albedo (SWIR) [rice sample],leave-one-province-out,unweighted,927,10.5888,0.4926,12.3318,0.3118,no
gaia+glorice,OLS albedo (SWIR) [rice sample],leave-one-province-out,by sounding count,927,6.235,0.3594,7.5183,0.0685,no
gaia+glorice,OLS albedo (SWIR) [rice sample],spatial blocks,unweighted,927,10.5888,0.4926,10.7297,0.479,no
gaia+glorice,OLS albedo (SWIR) [rice sample],spatial blocks,by sounding count,927,6.235,0.3594,6.3997,0.3251,no
gaia+glorice,OLS wind + both fractions,leave-one-province-out,unweighted,927,8.5007,0.673,9.4564,0.5953,no
gaia+glorice,OLS wind + both fractions,leave-one-province-out,by sounding count,927,4.8731,0.6087,6.5861,0.2852,no
gaia+glorice,OLS wind + both fractions,spatial blocks,unweighted,927,8.5007,0.673,8.7498,0.6535,no
gaia+glorice,OLS wind + both fractions,spatial blocks,by sounding count,927,4.8731,0.6087,5.1761,0.5585,no
gaia+glorice,OLS full covariates + both fractions,leave-one-province-out,unweighted,927,7.7662,0.7271,9.5445,0.5877,no
gaia+glorice,OLS full covariates + both fractions,leave-one-province-out,by sounding count,927,4.2797,0.6982,6.5617,0.2905,no
gaia+glorice,OLS full covariates + both fractions,spatial blocks,unweighted,927,7.7662,0.7271,8.1458,0.6997,no
gaia+glorice,OLS full covariates + both fractions,spatial blocks,by sounding count,927,4.2797,0.6982,4.6633,0.6416,no
gaia+glorice,OLS wind + trend surface,leave-one-province-out,unweighted,927,8.2705,0.6905,9.1138,0.6241,no
gaia+glorice,OLS wind + trend surface,leave-one-province-out,by sounding count,927,4.2754,0.6988,5.1358,0.5653,no
gaia+glorice,OLS wind + trend surface,spatial blocks,unweighted,927,8.2705,0.6905,8.5567,0.6687,no
gaia+glorice,OLS wind + trend surface,spatial blocks,by sounding count,927,4.2754,0.6988,4.4278,0.6769,no
gaia+glorice,OLS sampling composition (when observed),leave-one-province-out,unweighted,927,10.8182,0.4704,12.5289,0.2896,no
gaia+glorice,OLS sampling composition (when observed),leave-one-province-out,by sounding count,927,5.8084,0.444,8.689,-0.2442,no
gaia+glorice,OLS sampling composition (when observed),spatial blocks,unweighted,927,10.8182,0.4704,10.8566,0.4666,no
gaia+glorice,OLS sampling composition (when observed),spatial blocks,by sounding count,927,5.8084,0.444,5.8996,0.4264,no
gisa+nesdc,constant (global mean),leave-one-province-out,unweighted,927,14.8652,0.0,16.0732,-0.1691,no
gisa+nesdc,constant (global mean),leave-one-province-out,by sounding count,927,7.7898,0.0,8.1241,-0.0877,no
gisa+nesdc,constant (global mean),spatial blocks,unweighted,927,14.8652,0.0,14.9255,-0.0081,no
