centre_lat,centre_lon,sounding_count,ch4_blended_ppb
32.0750,117.1750,290,1886.06
32.0750,117.4250,278,1885.50
32.0750,117.6750,318,1884.06
32.0750,117.9250,260,1883.50
32.0750,118.1750,250,1882.93
32.0750,118.4250,241,1883.17
32.0750,118.6750,133,1882.64
32.0750,118.9250,185,1883.59
32.0750,119.1750,218,1885.63
32.0750,119.4250,231,1880.42
32.0750,119.6750,181,1878.02
32.0750,119.9250,77,1878.09
32.0750,120.1750,146,1882.24
32.0750,120.4250,60,1881.17
32.0750,120.6750,37,1880.14
32.0750,120.9250,67,1879.08
32.0750,121.1750,114,1875.12
32.0750,121.4250,65,1874.81
32.0750,121.6750,7,1877.68
32.0750,121.9250,20,1842.50
32.0750,122.1750,34,1838.66
32.0750,122.4250,23,1834.40
31.8250,114.9250,250,1884.00
31.8250,115.1750,282,1883.30
31.8250,115.4250,232,1883.76
31.8250,115.6750,134,1882.81
31.8250,115.9250,226,1883.61
31.8250,116.1750,312,1882.64
31.8250,116.4250,261,1884.68
31.8250,116.6750,273,1886.25
31.8250,116.9250,307,1885.05
31.8250,117.1750,162,1888.28
31.8250,117.4250,132,1886.23
31.8250,117.6750,230,1883.48
31.8250,117.9250,194,1883.95
31.8250,118.1750,224,1882.18
31.8250,118.4250,132,1883.74
31.8250,118.6750,167,1882.39
31.8250,118.9250,173,1881.48
31.8250,119.1750,228,1883.04
31.8250,119.4250,282,1878.52
31.8250,119.6750,186,1879.61
31.8250,119.9250,66,1879.80
31.8250,120.1750,122,1879.81
31.8250,120.4250,121,1877.52
31.8250,120.6750,97,1875.57
31.8250,120.9250,10,1878.42
31.8250,121.1750,16,1877.42
31.8250,121.4250,19,1874.95
31.8250,121.6750,39,1875.28
31.8250,121.9250,6,1850.07
31.8250,122.1750,20,1836.62
31.8250,122.4250,19,1835.60
31.5750,114.9250,87,1881.41
31.5750,115.1750,33,1876.69
31.5750,115.4250,21,1870.74
31.5750,115.6750,54,1875.80
31.5750,115.9250,42,1874.18
31.5750,116.1750,156,1883.85
31.5750,116.4250,267,1883.81
31.5750,116.6750,314,1883.77
31.5750,116.9250,305,1884.65
31.5750,117.1750,142,1887.39
31.5750,117.4250,18,1879.30
31.5750,117.6750,5,1886.72
31.5750,117.9250,126,1881.01
31.5750,118.1750,223,1879.28
31.5750,118.4250,115,1880.32
31.5750,118.6750,202,1880.19
31.5750,118.9250,78,1878.26
31.5750,119.1750,241,1883.39
31.5750,119.4250,134,1882.47
31.5750,119.6750,42,1879.32
31.5750,119.9250,32,1891.90
31.5750,120.1750,50,1877.74
31.5750,120.4250,66,1874.85
31.5750,120.6750,18,1873.89
31.5750,120.9250,71,1875.37
31.5750,121.1750,58,1881.04
31.5750,121.4250,9,1883.11
31.5750,121.6750,1,1863.50
31.5750,121.9250,0,
31.5750,122.1750,1,1839.61
31.5750,122.4250,10,1845.06
31.3250,114.9250,228,1879.25
31.3250,115.1750,74,1880.10
31.3250,115.4250,0,
31.3250,115.6750,1,1905.90
31.3250,115.9250,0,
31.3250,116.1750,27,1878.21
31.3250,116.4250,82,1878.96
31.3250,116.6750,164,1880.80
31.3250,116.9250,203,1882.59
31.3250,117.1750,233,1880.73
31.3250,117.4250,209,1881.66
31.3250,117.6750,220,1881.76
31.3250,117.9250,201,1882.88
31.3250,118.1750,128,1884.31
31.3250,118.4250,159,1883.17
31.3250,118.6750,247,1883.35
31.3250,118.9250,43,1883.31
31.3250,119.1750,208,1877.69
31.3250,119.4250,173,1879.66
31.3250,119.6750,93,1882.40
31.3250,119.9250,15,1875.89
31.3250,120.1750,2,1932.47
31.3250,120.4250,14,1887.17
31.3250,120.6750,24,1887.86
31.3250,120.9250,31,1882.61
31.3250,121.1750,97,1879.97
31.3250,121.4250,49,1882.33
31.3250,121.6750,6,1876.76
31.3250,121.9250,0,
31.3250,122.1750,3,1843.55
31.3250,122.4250,8,1830.41
31.0750,114.9250,170,1882.09
31.0750,115.1750,21,1881.88
31.0750,115.4250,26,1872.84
31.0750,115.6750,0,
31.0750,115.9250,0,
31.0750,116.1750,0,
31.0750,116.4250,0,
31.0750,116.6750,0,
31.0750,116.9250,86,1878.78
31.0750,117.1750,220,1881.68
31.0750,117.4250,179,1882.71
31.0750,117.6750,152,1881.21
31.0750,117.9250,96,1885.66
31.0750,118.1750,197,1880.77
31.0750,118.4250,258,1880.61
31.0750,118.6750,190,1883.47
31.0750,118.9250,44,1883.36
31.0750,119.1750,156,1878.70
31.0750,119.4250,181,1879.30
31.0750,119.6750,40,1889.71
31.0750,119.9250,39,1879.54
31.0750,120.1750,5,1893.37
31.0750,120.4250,0,
31.0750,120.6750,24,1892.58
31.0750,120.9250,25,1886.20
31.0750,121.1750,90,1886.35
31.0750,121.4250,46,1887.66
31.0750,121.6750,62,1890.79
31.0750,121.9250,3,1890.39
